feature,importance
will_need_biometric,0.68168414
month_cos,0.025794761
service_stress_index,0.022303423
digital_inclusion_index,0.015909791
is_oversaturated,0.01589614
month,0.011728991
month_sin,0.010802913
identity_maturity_score,0.010666879
quarter,0.009687708
maturity_stability,0.0072556525
load_variance,0.00653026
cumulative_enrolments,0.00607121
demographic_intensity,0.0043499577
engagement_frequency,0.0034022734
maturity_compliance,0.0031167814
service_accessibility_score,0.0027732986
post_burst_fatigue,0.0027552305
accessibility_score,0.002741494
is_high_mobility,0.0026128232
forecast_uncertainty_width,0.0025153742
burden_score,0.002464566
long_term_identity_consistency,0.0023196551
rank_change_6m,0.00225158
digital_self_service_score,0.0022449873
relative_digital_score,0.0022298992
age_transition_pressure_18,0.002123462
rank_change_3m,0.0021234588
maturity_steady,0.0021205868
engagement_biometric,0.0020228154
sustained_high_activity_flag,0.002008696
mobile_digital_score,0.0019913637
academic_cycle_alignment_score,0.0019856158
load_variance_normalized,0.0019793033
citizen_engagement_index,0.0019554733
policy_event_likelihood,0.0018907507
natural_event_proxy,0.0018844836
enrolment_volatility_index,0.0018527425
identity_churn_score,0.001851467
address_intensity,0.0018409427
anomaly_severity_score,0.0018134135
digital_engagement_index,0.0018052525
child_biometric_ratio,0.0018050644
pincode,0.001795482
impossible_changes,0.0017837039
rolling_3m_enrolments,0.001777426
identity_stability_score,0.0017699156
mobility_indicator,0.0017692519
biometric_delay_score,0.0017691904
adult_enrolment_share,0.0017684546
enrolments_ma3,0.0017570587
data_quality_event_likelihood,0.0017522924
rank_volatility,0.0017390682
total_enrolments,0.0017366068
identity_stability_index,0.0017218129
child_to_adult_transition_stress,0.0017214961
manual_labor_proxy,0.0017197134
biometric_intensity,0.0017141686
digital_divide_indicator,0.001711546
correction_count,0.0017093372
enrolments_18_plus,0.0017012671
age_transition_pressure_5,0.0016995921
correction_ratio,0.0016917213
correction_to_maintenance,0.001690577
aadhaar_maturity_index,0.0016840573
relative_maturity_score,0.0016815612
maintenance_ratio,0.001676013
enrolments_lag_6,0.0016706908
enrolments_lag_3,0.0016577528
recovery_rate,0.001653566
growth_acceleration,0.0016516314
digital_instability_index,0.0016352175
peak_load_ratio,0.0016332337
engagement_address,0.0016319633
mobile_intensity,0.0016311561
seasonal_variance_score,0.0016226904
maintenance_count,0.0016189128
forecast_3m,0.0016167609
resilience_score,0.0016130067
lifecycle_transition_spike,0.0016076367
policy_violation_score,0.0016050505
rolling_trend_slope_6m,0.0016001211
stability_score,0.0015988084
decoupling_index,0.0015939315
enrolment_mom_change,0.0015824639
age_transition_pressure_15,0.001579418
rolling_trend_slope_3m,0.0015710713
migration_volatility_6m,0.00156412
service_quality_score,0.0015447068
enrolments_lag_1,0.0015432297
is_peak_season,0.0015340429
engagement_mobility,0.0015334525
engagement_consistency_score,0.0015318963
curvature_score,0.0015291516
gender_parity_score,0.0015211479
forecasted_growth_rate_3m,0.0015167542
enrolment_velocity,0.0015045602
enrolments_5_17,0.0014999467
estimated_population,0.001498758
behavioral_memory_score,0.0014925296
trust_stability_indicator,0.0014921897
enrolment_yoy_change,0.0014890097
child_enrolment_share,0.0014632412
forecast_spike_risk,0.0014016789
enrolments_0_5,0.0013835293
gender_ratio,0.001339789
is_concave_trend,0.0013112675
is_convex_trend,0.0012351723
excessive_name_changes,0.0011445637
migration_spike_flag,0.0008441327
saturation_ratio,0.0
is_undersaturated,0.0
severe_gender_imbalance,0.0
saturation_score,0.0
data_quality_concern,0.0
maturity_saturation,0.0
compliance_score,0.0
net_inward_migration_proxy,0.0
net_outward_migration_proxy,0.0
frequent_modifier_flag,0.0
migration_mobility_index,0.0
